SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1377.00,1390.00,1367.70,1374.60,1390.00,1376.30,644,4345,5980155.00,
500003,AEGIS LOGIS ,A ,Q,281.95,293.95,281.95,291.45,291.45,282.10,1066,12717,3675760.00,
500008,AMAR RAJA BA,A ,Q,845.50,855.00,834.00,836.45,834.00,845.40,1139,18707,15791023.00,
500009,A.SARABHAI  ,X ,Q,18.55,18.55,17.50,18.15,18.15,18.15,188,57200,1025379.00,
500010,HDFC        ,A ,Q,2480.00,2507.00,2457.25,2481.80,2479.50,2472.80,7321,100767,250752388.00,
500012,ANDHRA PETRO,X ,Q,62.20,63.55,61.70,63.35,63.00,62.10,503,154357,9695899.00,
500013,ANSAL INFRAS,B ,Q,7.05,7.06,6.79,7.00,6.99,6.73,86,40135,282153.00,
500014,UTIQUE      ,X ,Q,1.78,1.78,1.78,1.78,1.78,1.70,10,1673,2977.00,
500020,BOM DYEING  ,A ,Q,72.00,73.15,71.40,72.35,72.35,71.45,1350,264311,19073856.00,
500023,ASIANHOTNR  ,B ,Q,65.40,65.40,63.55,63.55,63.55,62.50,3,52,3306.00,
500027,ATUL LTD.   ,A ,Q,7522.00,7999.95,7514.00,7888.75,7888.75,7501.20,1751,4229,33208646.00,
500028,ATV PROJECTS,XT,Q,4.34,4.34,4.10,4.10,4.10,4.14,52,12379,53699.00,
500031,BAJAJ ELECT.,A ,Q,1016.95,1029.00,1000.45,1019.80,1019.00,1007.60,522,4018,4097689.00,
500032,BAJAJHIND   ,A ,Q,6.23,6.65,6.22,6.52,6.52,6.23,1162,1231699,7893381.00,
500033,FORCE MOTR  ,A ,Q,1174.80,1232.00,1174.80,1197.00,1197.00,1163.25,983,5582,6711811.00,
500034,BAJFINANCE  ,A ,Q,4989.95,5109.90,4942.00,5076.75,5076.75,4992.25,6777,60128,303092112.00,
500038,BALRAM.CHINI,A ,Q,214.95,215.55,208.00,214.15,214.65,210.80,2252,175961,37601047.00,
500039,BANCO PROD. ,B ,Q,141.85,143.00,140.60,141.75,142.00,141.45,1063,20232,2868628.00,
500040,CENTURY TEXT,A ,Q,444.00,454.00,441.90,447.80,451.45,439.35,1766,53940,24153107.00,
500041,BANNARI AMAN,A ,Q,1598.15,1687.95,1598.15,1668.00,1668.00,1633.15,7,10,16445.00,
500042,BASF INDIA  ,A ,Q,2117.65,2138.75,2071.80,2089.85,2075.00,2109.25,592,3156,6641420.00,
500043,BATA INDIA  ,A ,Q,1402.95,1407.60,1384.20,1388.05,1388.05,1390.35,2700,24429,34055564.00,
500048,BEML LTD    ,A ,Q,1260.00,1313.00,1246.00,1283.25,1276.00,1265.30,2226,41552,53324676.00,
500049,BHARAT ELECT,A ,Q,132.50,134.45,130.55,131.35,131.35,130.70,1992,269991,35842457.00,
500052,BHANSALI ENG,A ,Q,161.50,165.70,161.25,162.25,162.25,161.90,1193,88799,14521676.00,
500055,TATASTLBSL  ,B ,Q,56.30,57.20,55.75,56.50,56.50,55.55,4649,1248859,70644529.00,
500058,BIHAR SPONGE,XT,Q,2.29,2.29,2.29,2.29,2.29,2.25,5,4100,9389.00,
500060,BIRLACABLE  ,B ,Q,61.50,62.25,61.10,61.40,61.40,61.05,85,5008,308266.00,
